year,country,session,happiness_average,happiness_standard_deviation
2020,EU,75,5.5071668667467,1.1346469987995198
2020,FIN,75,5.438461538461539,1.1564750952018277
2020,FJI,75,5.4786588720770295,1.1656018569463549
2020,FRA,75,5.43224657960199,1.1223731343283585
2020,FSM,75,5.563313896987366,1.1479122448979593
2020,GAB,75,5.463145161290322,1.1318526881720432
2020,GBR,75,5.378730748805099,1.1318445565586828
2020,GEO,75,5.455370799536501,1.1369213789107764
2020,GHA,75,5.400154639175257,1.12914911634757
2020,GIN,75,5.488584070796461,1.1272084702907712
2020,GMB,75,5.51419329696025,1.1543179267342167
2020,GNB,75,5.521501154734412,1.1389937644341803
2020,GNQ,75,5.40625468164794,1.1386749063670412
2020,GRC,75,5.4625391180654335,1.1422526315789474
2020,GRD,75,5.479617672047579,1.1522167374681394
2020,GTM,75,5.458379290939787,1.1497909960607766
2020,GUY,75,5.497635887360838,1.1487223968565814
2020,HND,75,5.4339473684210535,1.1401806659505906
2020,HRV,75,5.437410579345088,1.1304954659949622
2020,HTI,75,5.477465968586388,1.1526947643979055
2020,HUN,75,5.418702791461412,1.1423311986863711
2020,IDN,75,5.509951865222624,1.1536044524669076
2020,IND,75,5.502547297297297,1.1664305405405404
2020,IRL,75,5.399633447880871,1.156642439862543
2020,IRN,75,5.345003773584906,1.1453554716981131
2020,IRQ,75,5.298055720213396,1.1393113811499704
2020,ISL,75,5.481386138613861,1.1527256718528995
2020,ISR,75,5.305740740740741,1.1407622222222222
2020,ITA,75,5.48067706013363,1.1465319376391985
2020,JAM,75,5.50843648208469,1.1486350977198696
2020,JOR,75,5.526263237518911,1.1516671709531012
2020,JPN,75,5.436416726748377,1.1481807498197547
2020,KAZ,75,5.45651376146789,1.156885124508519
2020,KEN,75,5.491133300049925,1.1350736894658011
2020,KGZ,75,5.5005,1.1420416666666666
2020,KHM,75,5.375186781609195,1.140137787356322
2020,KIR,75,5.5169159420289855,1.1417482898550724
2020,KNA,75,5.515624227441285,1.151335784919654
2020,KOR,75,5.502573325954621,1.1575761483121196
2020,KWT,75,5.401671626984127,1.1246206845238096
2020,LAO,75,5.503442822384428,1.1415798661800487
2020,LBN,75,5.391295407813571,1.1411076079506512
2020,LBR,75,5.450419407894737,1.1334794407894735
2020,LBY,75,5.389819349658772,1.1314667201926938
2020,LCA,75,5.452965931863728,1.1476481462925854
2020,LIE,75,5.411144545943041,1.136003546480387
2020,LKA,75,5.434245487364621,1.1443700361010831
2020,LSO,75,5.439443186962427,1.1291827523766411
2020,LTU,75,5.407064393939394,1.1775479166666667
2020,LUX,75,5.411675126903553,1.123461836640517
2020,LVA,75,5.504626129827446,1.163226047658176
2020,MAR,75,5.388941120607788,1.1288547483380815
2020,MCO,75,5.394109297374024,1.1226307310149042
2020,MDA,75,5.480027637033625,1.1367981114693688
2020,MDG,75,5.5132917214191846,1.1273971090670172
2020,MDV,75,5.474140409065783,1.1645130458817026
2020,MEX,75,5.451973791973792,1.1421954135954138
2020,MHL,75,5.459397427217333,1.1744228165199728
2020,MKD,75,5.466359189378057,1.1413608665269044
2020,MLT,75,5.431080565101183,1.1382411607483771
2020,MMR,75,5.367372982665868,1.155089001793186
2020,MNE,75,5.526967551622418,1.1176391150442475
2020,MNG,75,5.438235294117647,1.1492064856711917
2020,MOZ,75,5.5326025641025645,1.1173226923076924
2020,MRT,75,5.462789115646259,1.1451537414965989
2020,MUS,75,5.385417789757413,1.1174867924528302
2020,MWI,75,5.5040723270440255,1.1447426886792451
2020,MYS,75,5.392356776897997,1.135053376804844
2020,NAM,75,5.506457286432161,1.1475103852596311
2020,NER,75,5.438110098176718,1.1408058204768583
2020,NGA,75,5.490827873734366,1.1435794520547944
2020,NIC,75,5.4684176182708,1.1260682707993477
2020,NLD,75,5.4268504901960775,1.1524335784313726
2020,NOR,75,5.514465648854963,1.1703881679389312
2020,NPL,75,5.487772045028143,1.1518342870544092
2020,NRU,75,5.475625294950449,1.1432945729117507
2020,NZL,75,5.512961832061069,1.1444499236641223
2020,OMN,75,5.572203219315896,1.127862273641851
2020,PAK,75,5.339891961970614,1.1697117113223856
2020,PAN,75,5.45294964028777,1.1504755395683457
2020,PER,75,5.43021052631579,1.1485995394736843
2020,PHL,75,5.376762711864406,1.1434902824858757
2020,PLW,75,5.492997971602434,1.1461372819472615
2020,PNG,75,5.51482186432406,1.1489780868716446
2020,POL,75,5.397323804829965,1.128129078363726
2020,PRK,75,5.413899745114699,1.1361558198810535
2020,PRT,75,5.462651779483601,1.126874528960223
2020,PRY,75,5.482298221614228,1.1435313269493843
2020,PSE,75,5.492948846539619,1.1431722166499498
2020,QAT,75,5.418548931383577,1.1049295838020248
2020,ROU,75,5.575279429250893,1.144185731272295
2020,RUS,75,5.440696564885497,1.130006393129771
2020,RWA,75,5.498800738007381,1.1573946494464944
2020,SAU,75,5.382869449966866,1.131940954274354
2020,SDN,75,5.450898004434591,1.1180168514412416
2020,SEN,75,5.4633982114676485,1.141915360336665
2020,SGP,75,5.492828116419549,1.1482234486545853
2020,SLB,75,5.492151717557252,1.1697499045801527
2020,SLE,75,5.49656929347826,1.142185801630435
2020,SLV,75,5.505629595588236,1.1304063419117647
2020,SMR,75,5.455483304042179,1.1346916813122436
2020,SOM,75,5.522650701899257,1.1544990916597853
2020,SRB,75,5.489944444444445,1.1190870512820512
2020,STP,75,5.446267409470752,1.1359571959145778
2020,SUR,75,5.52240671641791,1.1480643656716418
2020,SVK,75,5.432635746606334,1.1363306561085973
2020,SVN,75,5.565622119815669,1.1600117050691243
2020,SWE,75,5.513664179104477,1.1727403731343282
2020,SWZ,75,5.489984787018256,1.1401219066937125
2020,SYC,75,5.4500157232704405,1.1432675314465408
2020,SYR,75,5.300146561443066,1.1339745772266066
2020,TCD,75,5.373816753926701,1.128295235602094
2020,TGO,75,5.4376997041420125,1.137407766272189
2020,THA,75,5.557965887555275,1.1520230574857864
2020,TJK,75,5.455375123395854,1.1211931885488646
2020,TKM,75,5.494818599897803,1.1299582524271845
2020,TLS,75,5.462343129467832,1.1439079428117551
2020,TON,75,5.450732054015636,1.1347496090973703
2020,TTO,75,5.498836291913214,1.1379107001972388
2020,TUN,75,5.5208157099697885,1.1215697885196374
2020,TUR,75,5.392854518736223,1.1393313005143275
2020,TUV,75,5.502354388843314,1.1503924528301883
2020,TZA,75,5.511564584596725,1.1393173438447544
2020,UGA,75,5.455640668523677,1.131221123491179
2020,UKR,75,5.349689768976898,1.116340726072607
2020,URY,75,5.478743909041689,1.1288334596643204
2020,USA,75,5.485858468677495,1.1852881670533644
2020,UZB,75,5.501148648648648,1.1389397297297297
2020,VAT,75,5.394007815892315,1.137989014329136
2020,VCT,75,5.421637591446258,1.1378935284186833
2020,VEN,75,5.422448505947201,1.1363319698288368
2020,VNM,75,5.547556756756756,1.138060108108108
