year,country,session,happiness_average
2017,FJI,72,5.503582375478927
2017,FRA,72,5.428320228734812
2017,FSM,72,5.513843338213762
2017,GAB,72,5.448122297714638
2017,GBR,72,5.419907315458458
2017,GEO,72,5.523346196251379
2017,GHA,72,5.496914446002806
2017,GIN,72,5.452267515923568
2017,GMB,72,5.528412073490813
2017,GNB,72,5.399974293059127
2017,GNQ,72,5.386156991005723
2017,GRC,72,5.4794327176781
2017,GRD,72,5.462968863142651
2017,GTM,72,5.467517772511848
2017,GUY,72,5.47364312267658
2017,HND,72,5.479382373351839
2017,HRV,72,5.508252054794521
2017,HTI,72,5.402044728434506
2017,HUN,72,5.420392405063292
2017,IDN,72,5.497148468185388
2017,IND,72,5.365976357267951
2017,IRL,72,5.477252450152078
2017,IRN,72,5.396475181260458
2017,IRQ,72,5.376700363930448
2017,ISL,72,5.506097240473061
2017,ISR,72,5.39671811166591
2017,ITA,72,5.420973534971645
2017,JAM,72,5.485652968036531
2017,JOR,72,5.421213517665131
2017,JPN,72,5.312066710268149
2017,KAZ,72,5.492308963238331
2017,KEN,72,5.488551686014372
2017,KGZ,72,5.49896839332748
2017,KHM,72,5.347544107268878
2017,KIR,72,5.561085574572127
2017,KNA,72,5.434507042253521
2017,KOR,72,5.465526090675791
2017,KWT,72,5.424087701612903
2017,LAO,72,5.523667348329925
2017,LBN,72,5.2425251959686445
2017,LBR,72,5.524207096307024
2017,LBY,72,5.412825788751714
2017,LCA,72,5.431857379767827
2017,LIE,72,5.388335419274092
2017,LKA,72,5.485995405819296
2017,LSO,72,5.448510935318753
2017,LTU,72,5.25458695652174
2017,LUX,72,5.388216432865732
2017,LVA,72,5.444368803701256
2017,MAR,72,5.42865837696335
2017,MCO,72,5.496135909393738
2017,MDA,72,5.364855735397607
2017,MDG,72,5.519541795665634
2017,MDV,72,5.449338755304102
2017,MEX,72,5.474150121065375
2017,MHL,72,5.442659968270756
2017,MKD,72,5.5076322580645165
2017,MLI,72,5.451714035854832
2017,MLT,72,5.482880733944954
2017,MMR,72,5.4091593475533255
2017,MNE,72,5.5190734557596
2017,MNG,72,5.45446697566628
2017,MOZ,72,5.494918681318682
2017,MRT,72,5.514301242236025
2017,MUS,72,5.478461962513782
2017,MWI,72,5.450198019801981
2017,MYS,72,5.365100143061516
2017,NAM,72,5.500436927413672
2017,NER,72,5.378051230537419
2017,NGA,72,5.375653710247351
2017,NIC,72,5.384494649227111
2017,NLD,72,5.472437948152234
2017,NOR,72,5.559222833562586
2017,NPL,72,5.483308510638297
2017,NRU,72,5.541404230317275
2017,NZL,72,5.502465224111283
2017,OMN,72,5.549417938931298
2017,PAK,72,5.295206949412367
2017,PAN,72,5.4491653116531165
2017,PER,72,5.430437756497948
2017,PHL,72,5.370872648781993
2017,PLW,72,5.49495857233907
2017,PNG,72,5.536432865731464
2017,POL,72,5.485120630231412
2017,PRK,72,5.296347150259067
2017,PRT,72,5.5029060838747785
2017,PRY,72,5.525259481037923
2017,PSE,72,5.357979771093958
2017,QAT,72,5.332134311076804
2017,ROU,72,5.5028284854563685
2017,RUS,72,5.398595074687122
2017,RWA,72,5.532266112266112
2017,SAU,72,5.402508474576272
2017,SDN,72,5.460922778047596
2017,SEN,72,5.401568441064638
2017,SGP,72,5.507646396396396
2017,SLB,72,5.482815988476773
2017,SLE,72,5.5263475347056
2017,SLV,72,5.479331306990882
2017,SMR,72,5.427822115384615
2017,SOM,72,5.476209728363866
2017,SRB,72,5.436113381001022
2017,SSD,72,5.521489146895507
2017,STP,72,5.482959133431807
2017,SUR,72,5.445137014314929
2017,SVK,72,5.442737752161384
2017,SVN,72,5.46869985141159
2017,SWE,72,5.496726392251817
2017,SWZ,72,5.529296977660972
2017,SYC,72,5.590329847144007
2017,SYR,72,5.244613138686131
2017,TCD,72,5.346009582477755
2017,TGO,72,5.468565555047968
2017,THA,72,5.522902985074627
2017,TJK,72,5.5169909365558905
2017,TKM,72,5.527823479005998
2017,TLS,72,5.553570601851852
2017,TON,72,5.551154910096819
2017,TTO,72,5.446152987158013
2017,TUN,72,5.465671140939597
2017,TUR,72,5.381363451363452
2017,TUV,72,5.497989309210527
2017,TZA,72,5.435783003741314
2017,UGA,72,5.308414634146341
2017,UKR,72,5.357553571428571
2017,URY,72,5.308226366001735
2017,USA,72,5.456568627450981
2017,UZB,72,5.499432387312186
2017,VAT,72,5.341417462000707
2017,VCT,72,5.366636750118092
