year,country,session,happiness_average,happiness_standard_deviation
1947,CUB,02,5.3275778894472365,1.1341697487437186
1947,DOM,02,5.459480712166172,1.110942878338279
1947,ECU,02,5.3879097544790975,1.1085541473125415
1947,EGY,02,5.368594394064304,1.1297268755152514
1947,FRA,02,5.351224541751527,1.1163572301425662
1947,GBR,02,5.331678910110859,1.1189425003339122
1947,GRC,02,5.34877263581489,1.1269749832327298
1947,IND,02,5.368844327176782,1.1215203166226912
1947,IRQ,02,5.387524079320113,1.117135297450425
1947,LBN,02,5.3872950819672125,1.1097709016393444
1947,LBR,02,5.484030261348006,1.1027888583218706
1947,MEX,02,5.347665042091272,1.1125726628267611
1947,NLD,02,5.427615526802218,1.1186468576709796
1947,NZL,02,5.385995969096406,1.105817635203225
1947,PER,02,5.428552357113058,1.112053066332916
1947,PHL,02,5.328679920477137,1.1144239761431414
1947,POL,02,5.290518562168533,1.1204002062463172
1947,RUS,02,5.287121612366696,1.1194290676059093
1947,SAU,02,5.357085889570552,1.1052317484662577
1947,SLV,02,5.419386694386694,1.0990670997920997
1947,SWE,02,5.422849002849003,1.1051876543209878
1947,SYR,02,5.321926439553814,1.099445462767561
1947,THA,02,5.567420560747663,1.1267973831775702
1947,TUR,02,5.4089874638379944,1.091026325940212
1947,UKR,02,5.293085778781039,1.1142469300225735
1947,URY,02,5.474872798434442,1.1165281800391391
1947,USA,02,5.388991257565569,1.1193435104236718
1947,VEN,02,5.384393849793021,1.1156546422235365
1947,YUG,02,5.310258541089566,1.126579409048938
1947,ZAF,02,5.399713392391871,1.1337647733194371
1948,AUS,03,5.346354102405922,1.0969571252313386
1948,BEL,03,5.260738683698972,1.0955223826714802
1948,BLR,03,5.297603731103249,1.104020070762303
1948,BOL,03,5.298207370393504,1.1128917551530295
1948,BRA,03,5.384436183395291,1.1023662949194548
1948,CAN,03,5.3434546122749,1.1159957001102536
1948,CHL,03,5.368545659526494,1.12171702367531
1948,CHN,03,5.3363007940214855,1.127320831387202
1948,COL,03,5.30209096278795,1.1006870053160072
1948,CSK,03,5.30027323943662,1.0921404507042254
1948,DNK,03,5.248574018126888,1.104446163141994
1948,DOM,03,5.363265931372549,1.118158455882353
1948,ECU,03,5.313250405624663,1.0942650621957815
1948,EGY,03,5.31619778346121,1.0985108269394712
1948,FRA,03,5.33239767966484,1.1119705124073478
1948,GBR,03,5.298282424436271,1.1075941787941788
1948,GRC,03,5.341058315334773,1.1053196112311017
1948,IND,03,5.307471533824515,1.118499531145345
1948,IRN,03,5.354329758713137,1.111237667560322
1948,LBN,03,5.364873968835931,1.1049671516956923
1948,LBR,03,5.31319587628866,1.132907101947308
1948,MEX,03,5.414682184422561,1.1045580572963294
1948,MMR,03,5.363075471698113,1.1058777358490566
1948,NLD,03,5.358759372869803,1.1092844921608724
1948,NZL,03,5.40800576368876,1.1242884726224784
1948,PAK,03,5.277223406775645,1.1036999052357261
1948,PER,03,5.404404296875,1.11004296875
1948,PHL,03,5.2974991016888255,1.1145700323392023
1948,POL,03,5.3094705549263885,1.111077463193658
1948,RUS,03,5.269139040875443,1.1149487447698743
1948,SLV,03,5.306833855799373,1.1014956739811912
1948,SYR,03,5.285389019872011,1.1022248905355339
1948,TUR,03,5.371789052069426,1.0962348464619491
1948,UKR,03,5.279540669856459,1.1227951515151515
1948,URY,03,5.4090644490644495,1.1283412681912683
1948,USA,03,5.395500860585198,1.1142267125645438
1948,VEN,03,5.322465581977472,1.1151453066332915
1948,YUG,03,5.31538666121113,1.1129821399345334
1948,ZAF,03,5.300289757412399,1.0987517520215635
1949,ARG,04,5.286535626535627,1.0994162776412777
1949,BEL,04,5.319693583273252,1.0913606344628695
1949,BLR,04,5.318108474576271,1.112780813559322
1949,BRA,04,5.27462982832618,1.0897570815450643
1949,CAN,04,5.296423330887747,1.1045040352164344
1949,CHL,04,5.392458506224067,1.1096078838174273
1949,CHN,04,5.305484727755644,1.1222643426294823
